,pixel_r,pixel_g,pixel_b,local_r,local_g,local_b,edges_r,edges_g,edges_b,label
130,143,124,82,132,120,81,71,83,50,dry_pervious
131,156,132,104,146,129,98,107,103,78,norm_impervious
132,157,132,101,115,111,81,98,100,71,dry_pervious
133,104,107,88,98,102,85,81,89,70,norm_impervious
134,121,124,103,107,108,89,75,81,60,norm_impervious
135,130,120,93,129,123,98,117,114,97,tan_impervious
136,169,161,122,169,163,125,160,153,119,tan_impervious
137,144,137,95,161,154,116,170,163,127,tan_impervious
138,125,119,87,134,127,101,140,136,112,tan_impervious
139,94,101,68,93,100,67,81,90,59,norm_pervious
140,35,59,33,49,70,43,66,79,53,norm_pervious
141,70,86,59,70,85,58,52,69,44,norm_pervious
142,53,73,46,54,67,44,55,70,45,norm_pervious
143,41,59,37,47,64,39,56,69,46,norm_pervious
144,42,60,38,44,61,37,55,68,46,shaded_pervious
145,39,58,36,47,65,39,54,70,45,shaded_pervious
146,43,57,32,48,65,40,55,69,45,shaded_pervious
147,48,67,45,43,62,37,55,70,45,shaded_pervious
148,95,84,66,78,79,59,68,76,54,norm_pervious
149,77,82,59,66,76,52,63,76,51,norm_pervious
150,111,113,102,109,111,90,93,98,75,norm_impervious
151,106,107,89,104,107,88,85,92,70,norm_impervious
152,101,102,88,98,100,81,115,119,96,norm_impervious
153,83,88,81,86,90,76,71,80,58,norm_impervious
154,107,111,96,98,102,82,80,86,66,norm_impervious
155,133,121,79,132,120,81,71,83,50,dry_pervious
156,157,133,105,147,129,98,108,103,78,dry_pervious
157,134,147,129,134,145,124,78,90,66,water
158,234,233,241,231,227,233,141,139,126,norm_impervious
159,235,229,241,230,227,233,137,136,122,norm_impervious
160,235,230,237,231,228,233,141,139,126,norm_impervious
161,210,200,198,212,202,198,170,162,151,norm_impervious
162,138,133,95,142,135,102,148,141,114,tan_impervious
163,151,142,101,147,140,106,120,117,90,tan_impervious
164,193,184,143,170,163,124,158,151,115,tan_impervious
165,160,155,113,163,156,118,154,148,113,tan_impervious
166,164,158,124,161,155,121,141,136,104,tan_impervious
167,168,159,120,166,159,121,155,149,115,tan_impervious
168,159,151,115,162,155,121,157,151,118,tan_impervious
169,179,173,139,171,164,131,145,140,110,tan_impervious
170,173,165,129,169,161,129,139,132,105,tan_impervious
171,89,90,82,96,97,83,127,126,108,norm_impervious
172,80,83,66,94,95,80,130,128,111,norm_impervious
173,89,92,83,97,98,83,129,128,110,norm_impervious
174,97,95,83,96,95,83,114,114,97,norm_impervious
175,91,90,72,95,94,81,110,111,94,norm_impervious
176,101,103,90,98,98,85,103,104,89,norm_impervious
177,84,85,71,97,99,85,97,97,82,norm_impervious
178,84,86,72,94,95,82,104,105,89,norm_impervious
179,87,91,76,104,105,90,108,109,92,norm_impervious
180,140,119,92,139,123,98,123,111,87,tan_impervious
181,131,111,78,131,113,87,129,114,89,tan_impervious
182,142,120,83,130,112,85,126,114,90,tan_impervious
183,110,118,105,116,120,103,132,131,112,norm_impervious
184,75,88,62,84,92,66,107,110,89,norm_pervious
185,47,73,44,52,71,45,79,88,63,norm_pervious
186,55,86,52,53,74,46,73,85,59,norm_pervious
187,61,76,43,56,72,43,59,72,45,norm_pervious
188,57,76,44,54,71,42,60,71,48,norm_pervious
189,118,121,104,107,111,92,67,77,55,norm_impervious
190,124,126,112,106,111,92,67,76,54,norm_impervious
191,64,63,58,70,72,63,89,97,75,norm_impervious
192,91,93,79,100,99,84,63,68,50,norm_impervious
193,83,94,77,81,89,69,68,74,59,norm_impervious
194,121,118,103,101,100,83,63,71,51,norm_impervious
195,146,153,135,143,152,134,65,77,58,norm_impervious
196,123,122,104,132,129,112,69,70,52,norm_impervious
197,119,120,88,128,121,93,72,77,56,norm_impervious
198,131,125,93,129,122,94,70,75,55,tan_impervious
199,126,122,93,129,122,94,70,75,55,tan_impervious
200,126,121,89,124,124,94,73,80,56,tan_impervious
201,117,114,81,124,124,94,74,81,56,tan_impervious
202,107,108,92,95,96,79,85,73,54,norm_impervious
203,121,124,105,109,113,92,87,90,69,norm_impervious
204,151,159,138,154,158,139,83,90,72,norm_impervious
205,151,154,135,149,152,133,84,91,72,norm_impervious
206,80,94,69,75,85,61,96,104,82,norm_pervious
207,170,181,165,166,177,162,91,95,77,norm_impervious
208,174,177,160,158,165,145,91,100,80,norm_impervious
209,142,155,135,139,151,132,77,91,67,norm_impervious
210,117,115,92,120,121,99,71,80,58,tan_impervious
211,121,130,111,115,125,107,65,76,54,norm_impervious
212,161,173,153,158,168,149,78,87,67,norm_impervious
213,152,150,129,145,143,122,87,91,72,norm_impervious
214,123,116,88,120,114,87,77,80,55,tan_impervious
215,125,124,96,126,122,93,84,88,63,tan_impervious
216,116,114,89,124,121,97,89,92,66,tan_impervious
217,102,98,69,99,96,70,99,99,75,tan_impervious
218,96,94,79,91,95,78,87,90,70,norm_impervious
219,104,104,94,93,98,78,88,92,71,norm_impervious
220,81,86,79,91,93,79,100,102,86,norm_impervious
221,94,95,81,96,100,82,90,92,72,norm_impervious
222,95,101,89,98,102,83,94,89,68,norm_impervious
223,101,105,82,96,101,79,85,91,71,norm_impervious
224,110,112,90,102,106,84,85,92,70,norm_impervious
225,111,115,92,96,100,79,85,92,71,norm_impervious
226,92,100,79,90,97,77,82,88,68,norm_impervious
227,93,94,80,91,93,79,98,101,84,norm_impervious
228,61,64,57,72,76,62,85,91,71,norm_impervious
229,70,72,69,68,72,59,74,80,62,norm_impervious
230,66,69,60,64,69,55,71,80,60,norm_impervious
231,53,56,45,61,67,53,73,82,63,norm_impervious
232,88,95,77,94,98,83,86,92,72,norm_impervious
233,117,120,99,107,111,90,81,89,67,norm_impervious
234,92,94,81,85,90,75,84,86,69,norm_impervious
235,111,115,101,100,104,85,82,89,69,norm_impervious
236,146,123,92,141,124,90,79,86,57,dry_pervious
237,112,112,88,126,120,93,76,79,55,norm_impervious
238,107,103,78,108,106,80,71,77,52,tan_impervious
239,69,74,52,60,66,43,89,94,72,norm_impervious
240,146,130,104,135,124,98,72,81,53,dry_pervious
241,115,109,83,91,91,66,87,92,69,dry_pervious
242,108,102,78,91,92,67,88,91,69,dry_pervious
243,93,89,62,85,88,63,77,86,61,dry_pervious
244,112,118,90,106,108,90,71,80,57,norm_impervious
245,104,107,90,106,107,91,77,82,64,norm_impervious
246,111,112,94,101,104,86,69,77,56,norm_impervious
247,100,108,93,76,83,67,70,77,60,norm_impervious
248,84,88,71,102,103,88,112,113,97,norm_impervious
249,95,98,91,91,93,80,100,102,86,norm_impervious
250,111,124,107,102,114,101,78,88,73,water
251,143,150,134,144,147,134,144,146,133,norm_impervious
252,142,146,131,145,149,135,144,146,131,norm_impervious
253,102,103,85,102,105,87,78,85,65,norm_impervious
254,106,107,91,106,110,90,97,102,78,norm_impervious
255,91,93,80,82,88,71,72,81,58,norm_impervious
256,54,82,44,50,73,43,62,76,53,norm_pervious
257,52,80,42,53,76,45,61,76,52,norm_pervious
258,90,86,61,75,78,52,69,76,48,fall_pervious
259,152,150,137,137,140,123,112,118,98,norm_impervious
260,96,123,106,96,123,106,100,123,110,water
261,136,181,178,154,186,182,135,140,126,water
262,129,185,198,159,185,178,141,145,128,water
263,138,124,77,134,120,81,72,84,53,dry_pervious
264,165,137,100,146,128,97,108,104,79,norm_impervious
265,40,54,31,36,46,28,34,43,26,norm_pervious
266,85,78,60,65,65,47,44,48,33,dry_pervious
267,81,74,56,67,66,48,49,51,37,dry_pervious
268,98,86,62,71,67,49,51,52,37,dry_pervious
269,64,63,42,71,68,50,54,54,38,norm_pervious
270,30,41,24,36,49,30,38,50,32,norm_pervious
271,38,49,35,42,53,35,44,54,37,norm_pervious
272,44,56,36,42,50,36,45,52,39,norm_pervious
273,52,64,44,47,55,38,40,48,33,norm_pervious
274,32,29,24,30,33,22,39,46,32,shaded_pervious
275,31,32,26,34,37,26,41,44,30,norm_impervious
276,35,47,45,27,31,32,55,57,53,water
277,33,42,41,27,29,29,45,45,41,water
278,21,21,23,27,29,27,52,52,43,water
279,52,60,37,36,46,27,35,45,26,norm_pervious
280,38,47,30,46,52,34,46,53,35,norm_pervious
281,38,46,33,39,48,30,38,47,30,norm_pervious
282,134,129,110,113,107,89,87,81,66,dry_pervious
283,78,69,60,76,69,59,98,93,79,dry_pervious
284,27,33,19,36,45,28,35,44,27,shaded_pervious
285,39,46,28,37,44,27,38,45,28,norm_pervious
286,41,56,33,44,52,36,41,45,31,norm_pervious
287,49,58,39,36,46,27,35,44,26,norm_pervious
288,48,60,40,39,49,32,38,47,30,norm_pervious
289,36,45,24,37,49,30,37,46,28,norm_pervious
290,19,25,11,35,43,26,37,44,28,shaded_pervious
291,49,58,39,39,48,31,38,46,29,norm_pervious
292,26,35,16,35,46,27,37,47,28,shaded_pervious
293,48,60,38,39,50,29,38,48,28,norm_pervious
294,58,66,51,44,52,36,42,46,32,norm_pervious
295,39,48,31,45,52,35,39,45,30,norm_pervious
296,34,45,31,41,52,34,43,53,37,norm_pervious
297,31,48,32,39,51,35,39,49,34,norm_pervious
298,31,44,26,40,52,35,39,50,34,norm_pervious
299,19,31,17,33,41,25,39,45,31,norm_pervious
300,80,76,64,75,76,62,66,69,56,norm_impervious
301,73,75,61,75,77,63,64,67,53,norm_impervious
302,76,74,61,77,78,64,70,72,58,norm_impervious
303,81,81,69,74,76,63,64,67,53,norm_impervious
304,81,83,70,72,75,61,55,59,44,norm_impervious
305,37,47,49,27,31,33,52,54,53,water
306,31,38,22,40,49,30,37,46,27,shaded_pervious
307,34,36,25,36,40,25,41,46,29,shaded_pervious
308,15,21,11,35,41,30,42,49,35,shaded_pervious
309,46,55,38,44,53,39,40,48,36,norm_pervious
310,56,67,50,51,57,41,44,49,37,norm_pervious
311,66,70,55,47,55,39,40,48,34,norm_pervious
312,65,61,50,49,54,39,41,49,34,fall_pervious
313,54,63,44,40,49,31,40,49,31,norm_pervious
314,36,46,21,48,55,35,47,54,35,norm_pervious
315,59,66,48,44,52,32,42,49,30,norm_pervious
316,107,98,83,104,97,80,84,80,65,dry_pervious
317,108,102,78,78,78,58,53,59,42,dry_pervious
318,25,38,20,36,45,28,34,43,26,shaded_pervious
319,92,63,47,89,67,55,83,63,53,fall_pervious
320,102,76,58,90,66,55,82,62,51,fall_pervious
321,111,83,58,99,73,56,98,73,57,fall_pervious
322,110,82,62,87,63,49,73,53,43,fall_pervious
323,110,77,60,89,65,53,77,56,47,fall_pervious
324,133,93,76,109,80,60,102,77,58,fall_pervious
325,97,60,38,106,77,58,111,81,60,fall_pervious
326,98,75,57,94,72,59,88,67,55,fall_pervious
327,77,46,27,62,52,45,64,54,47,fall_pervious
328,115,85,69,91,68,55,80,62,50,fall_pervious
329,93,64,34,95,72,54,92,70,53,fall_pervious
330,102,68,46,93,67,51,92,69,55,fall_pervious
331,97,67,54,85,62,52,81,62,52,fall_pervious
332,38,28,28,65,49,42,79,59,50,shaded_pervious
333,41,34,37,50,41,37,64,55,45,norm_impervious
334,64,67,51,55,55,43,52,52,42,norm_pervious
335,32,32,28,36,36,32,53,55,43,shaded_pervious
336,28,28,34,39,41,35,53,57,44,shaded_pervious
337,32,28,38,36,38,33,55,59,46,shaded_pervious
338,26,26,32,40,37,35,52,50,42,norm_impervious
339,34,32,37,39,36,34,66,60,49,norm_impervious
340,28,28,28,36,34,32,54,52,43,norm_impervious
341,42,49,35,44,47,37,53,55,44,norm_pervious
342,85,96,66,57,65,48,42,47,36,norm_pervious
343,62,61,48,48,48,41,42,43,36,norm_pervious
344,64,67,46,54,56,42,49,51,40,norm_pervious
345,92,96,74,58,60,44,58,56,41,norm_pervious
346,41,40,37,47,46,37,59,61,46,shaded_pervious
347,77,88,61,60,64,50,40,43,35,norm_pervious
348,82,93,62,59,64,49,45,48,37,norm_pervious
349,81,85,73,54,57,43,48,51,39,norm_pervious
350,46,46,36,43,45,37,48,50,40,shaded_pervious
351,43,49,35,45,49,36,52,56,43,norm_pervious
352,80,86,63,54,59,45,45,49,38,norm_pervious
353,115,69,58,103,71,56,97,70,54,fall_pervious
354,123,78,53,95,69,54,87,63,50,fall_pervious
355,122,90,70,115,87,66,107,82,63,fall_pervious
356,113,84,69,94,70,57,93,69,55,fall_pervious
357,120,82,62,103,76,58,99,74,56,fall_pervious
358,125,91,68,86,63,49,75,54,44,fall_pervious
359,117,83,66,75,56,47,67,52,43,fall_pervious
360,103,70,60,70,52,47,67,49,43,fall_pervious
361,103,74,56,94,66,51,79,59,47,fall_pervious
362,111,62,50,90,61,51,75,54,46,fall_pervious
363,78,38,34,101,72,56,95,70,55,fall_pervious
364,99,62,52,99,70,55,90,69,53,fall_pervious
365,92,59,45,96,66,51,105,74,59,fall_pervious
366,51,54,44,44,45,37,45,47,38,shaded_pervious
367,68,74,53,56,56,43,57,54,42,norm_pervious
368,77,87,47,52,55,42,49,49,39,norm_pervious
369,54,59,43,49,49,38,50,50,40,norm_pervious
370,77,87,47,52,55,42,49,49,39,norm_pervious
371,70,73,53,51,52,40,51,52,41,norm_pervious
372,78,84,72,51,57,47,41,46,37,norm_pervious
373,61,71,54,45,50,39,50,52,41,norm_pervious
374,72,83,54,57,60,43,58,56,42,norm_pervious
375,74,85,58,58,60,44,56,53,40,norm_pervious
376,95,98,73,70,72,54,53,54,40,norm_pervious
377,76,82,59,57,62,47,43,48,37,norm_pervious
378,37,40,34,35,36,33,50,53,43,shaded_pervious
379,28,28,29,39,41,34,54,57,45,shaded_pervious
380,73,84,54,57,64,47,46,50,39,norm_pervious
381,51,65,42,54,57,44,49,50,40,norm_pervious
382,69,84,60,57,63,47,48,49,40,norm_pervious
383,53,58,51,55,60,46,46,48,39,norm_pervious
384,72,79,58,49,54,42,45,49,40,norm_pervious
385,119,98,74,101,74,58,95,69,54,fall_pervious
386,84,58,49,80,58,49,91,67,55,fall_pervious
387,134,95,75,111,80,60,103,77,58,fall_pervious
388,91,69,65,92,65,51,97,69,55,fall_pervious
389,80,54,43,84,61,49,91,67,53,fall_pervious
390,108,74,58,78,56,47,84,60,49,fall_pervious
391,105,84,65,90,63,52,75,54,45,fall_pervious
392,103,76,60,89,62,51,75,54,45,fall_pervious
393,113,69,60,85,60,49,77,56,45,fall_pervious
394,107,61,51,90,64,51,85,61,48,fall_pervious
395,84,44,40,97,70,55,90,69,53,fall_pervious
396,104,66,56,102,74,58,90,69,53,fall_pervious
397,103,77,57,108,80,59,102,76,57,fall_pervious
398,131,92,62,103,84,63,96,81,60,fall_pervious
399,51,30,20,75,60,50,81,66,55,fall_pervious
400,109,64,45,95,67,52,80,60,48,fall_pervious
401,70,77,55,52,53,41,54,52,41,norm_pervious
402,94,99,70,84,89,61,52,55,36,norm_pervious
403,64,72,52,51,58,45,50,57,43,norm_pervious
404,85,96,66,59,67,49,41,46,35,norm_pervious
405,26,26,22,35,38,32,51,54,42,shaded_pervious
406,34,34,28,38,39,33,52,56,45,shaded_pervious
407,42,42,35,39,38,33,59,59,46,shaded_pervious
408,29,28,31,39,38,33,53,54,43,shaded_pervious
409,29,24,27,36,36,32,58,61,46,shaded_pervious
410,27,32,27,41,44,35,49,53,42,shaded_pervious
411,28,30,24,35,37,33,52,56,45,shaded_pervious
412,28,25,34,35,37,33,52,57,45,shaded_pervious
413,30,30,23,52,50,40,62,60,46,shaded_pervious
414,133,101,88,107,74,59,76,55,46,fall_pervious
415,110,83,69,85,61,50,79,57,46,fall_pervious
416,102,70,59,76,54,46,73,52,44,fall_pervious
417,48,42,42,56,43,40,82,60,51,fall_pervious
418,61,48,41,58,45,41,77,58,49,fall_pervious
419,52,33,29,75,54,46,79,59,50,fall_pervious
420,104,80,61,91,67,54,90,66,54,fall_pervious
421,51,38,40,77,56,47,93,71,57,fall_pervious
422,70,49,44,89,67,53,94,71,54,fall_pervious
423,120,86,70,100,73,56,106,81,61,fall_pervious
424,126,94,80,118,88,68,110,84,64,fall_pervious
425,131,94,62,122,96,73,116,91,68,fall_pervious
426,80,57,51,91,67,55,98,72,58,fall_pervious
427,49,57,40,46,50,39,48,51,40,norm_pervious
428,118,89,72,93,69,56,75,55,46,fall_pervious
429,96,67,54,80,59,48,82,59,48,fall_pervious
430,126,112,86,120,106,77,113,88,66,tan_impervious
431,131,118,88,120,108,76,102,87,61,tan_impervious
432,129,117,86,120,104,75,103,86,60,tan_impervious
433,122,108,75,111,97,71,86,74,55,tan_impervious
434,129,116,90,120,103,78,102,83,61,tan_impervious
435,126,109,81,120,106,74,114,94,66,tan_impervious
436,132,114,89,134,111,84,117,92,63,tan_impervious
437,136,125,98,130,109,85,119,94,71,tan_impervious
438,131,114,87,125,103,75,116,88,62,tan_impervious
439,126,82,61,124,92,65,114,88,64,fall_pervious
440,147,111,76,116,86,65,110,81,62,fall_pervious
441,139,96,69,117,88,65,115,87,66,fall_pervious
442,124,89,66,121,92,70,115,90,68,fall_pervious
443,113,75,53,90,66,52,91,69,54,fall_pervious
444,114,87,68,109,82,65,95,70,55,fall_pervious
445,119,81,63,102,74,58,89,65,52,fall_pervious
446,129,88,71,102,75,61,89,66,51,fall_pervious
447,120,86,70,78,57,48,71,53,46,fall_pervious
448,100,59,46,76,55,47,68,51,45,fall_pervious
449,105,68,51,86,63,50,75,57,47,fall_pervious
450,62,38,34,58,43,39,69,53,46,fall_pervious
451,99,106,84,80,89,63,55,61,40,norm_pervious
452,124,110,76,85,79,56,62,60,44,dry_pervious
453,148,135,99,120,112,78,74,70,43,dry_pervious
454,87,97,66,59,61,48,51,50,40,norm_pervious
455,42,46,28,49,51,37,51,52,41,shaded_pervious
456,125,90,65,96,75,59,76,60,50,fall_pervious
457,22,39,38,21,37,37,84,86,84,water
458,34,39,43,30,40,44,84,83,84,water
459,37,30,35,36,35,38,82,78,77,water
460,23,37,39,24,37,38,63,70,70,water
461,20,36,34,23,35,37,82,83,83,water
462,24,34,34,21,34,35,58,64,65,water
463,22,35,36,27,36,37,73,73,75,water
464,68,82,58,81,85,69,97,99,88,norm_pervious
465,53,87,55,66,80,61,71,80,65,norm_pervious
466,87,80,84,97,95,89,80,77,72,norm_impervious
467,108,104,102,103,98,96,95,87,86,norm_impervious
468,249,249,245,247,247,244,155,151,149,norm_impervious
469,133,127,125,119,113,111,82,76,74,norm_impervious
470,125,121,123,122,117,116,85,79,78,norm_impervious
471,222,219,216,223,219,217,164,160,157,norm_impervious
472,123,121,120,126,120,119,116,109,108,norm_impervious
473,141,133,126,135,128,122,103,99,96,norm_impervious
474,111,108,105,120,116,114,112,108,106,norm_impervious
475,101,101,96,103,98,96,89,83,82,norm_impervious
476,115,111,113,105,102,100,95,92,90,norm_impervious
477,118,104,105,118,106,102,112,102,100,norm_impervious
478,130,124,123,117,112,110,80,74,72,norm_impervious
479,127,121,119,122,117,116,83,77,76,norm_impervious
480,119,106,101,116,105,102,113,104,101,norm_impervious
481,119,104,101,116,104,101,112,103,100,norm_impervious
482,117,103,98,117,105,102,119,110,107,norm_impervious
483,112,99,94,117,104,101,111,100,97,norm_impervious
484,112,105,103,110,101,99,112,102,100,norm_impervious
485,114,101,96,116,105,101,113,104,101,norm_impervious
486,119,106,101,117,105,100,114,103,99,norm_impervious
487,118,105,100,115,102,97,122,110,105,norm_impervious
488,123,110,106,121,108,103,126,113,108,norm_impervious
489,21,36,37,23,38,39,71,72,77,water
490,16,35,34,21,36,37,77,82,80,water
491,32,43,45,32,41,41,88,84,82,water
492,28,41,46,36,44,46,78,77,77,water
493,74,80,60,82,86,71,90,92,81,norm_pervious
494,81,89,77,79,84,73,106,105,96,norm_pervious
495,71,85,71,80,85,74,110,108,100,norm_pervious
496,144,125,151,142,123,146,126,110,126,norm_impervious
497,120,102,128,127,110,129,119,106,112,norm_impervious
498,138,122,136,125,111,122,105,91,98,norm_impervious
499,114,101,114,121,108,118,98,86,90,norm_impervious
500,152,128,155,140,122,139,130,115,127,norm_impervious
501,136,112,140,124,107,128,115,100,112,norm_impervious
502,156,138,158,148,129,151,128,111,129,norm_impervious
503,147,125,148,143,125,143,127,112,123,norm_impervious
504,126,109,130,129,110,133,119,103,115,norm_impervious
505,117,99,125,124,107,128,119,105,116,norm_impervious
506,142,118,146,131,113,134,120,106,115,norm_impervious
507,132,116,131,123,110,120,108,95,100,norm_impervious
508,116,97,122,117,104,115,120,109,112,norm_impervious
509,134,119,134,126,112,124,108,94,102,norm_impervious
510,155,136,161,146,127,150,132,114,133,norm_impervious
511,124,105,135,132,114,133,116,104,108,norm_impervious
512,82,93,71,82,87,69,120,114,105,norm_pervious
513,72,83,62,83,87,69,117,111,101,norm_pervious
514,62,91,65,53,69,50,57,68,52,norm_pervious
515,20,33,34,21,31,34,63,64,60,water
516,20,35,38,21,33,34,60,62,62,water
517,51,73,47,51,67,48,54,67,50,norm_pervious
